theme,url,img,lines,author
LIVE LIFE,/inspirational-quotes/8191-life-itself-is-a-privilege-but-to-live-life-to,https://assets.passiton.com/quotes/quote_artwork/8191/medium/20210222_monday_quote.jpg?1613752607,"Life itself is a privilege. But to live life to the fullest- well, that is a choice.",<Author:0x00007f724765e260>
LOVE,/inspirational-quotes/7593-your-circumstance-doesn-t-make-life,https://assets.passiton.com/quotes/quote_artwork/7593/medium/20210219_friday_quote.jpg?1613084230,Your circumstance doesn’t make life extraordinary. Love does.,<Author:0x0000555606895718>
LOVE,/inspirational-quotes/6952-and-still-after-all-this-time-the-sun-has,https://assets.passiton.com/quotes/quote_artwork/6952/medium/20210218_thursday_quote.jpg?1613084201,"And still, after all this time, the Sun has never said to the Earth,‘You owe me.’ Look what happens with love like that. It lights up the sky.",<Author:0x000055560754aeb8>
LOVE,/inspirational-quotes/7692-you-yourself-as-much-as-anybody-in-the-entire,https://assets.passiton.com/quotes/quote_artwork/7692/medium/20210217_wednesday_quote.jpg?1613084162,"You yourself, as much as anybody in the entire universe deserve your love and affection.",<Author:0x0000555607926de8>
LOVE,/inspirational-quotes/8190-the-best-thing-to-hold-onto-in-life-is-each-other,https://assets.passiton.com/quotes/quote_artwork/8190/medium/20210216_tuesday_quote.jpg?1613084126,The best thing to hold onto in life is each other.,<Author:0x0000555607aa7ac8>
LOVE,/inspirational-quotes/6900-let-us-see-what-love-can-do,https://assets.passiton.com/quotes/quote_artwork/6900/medium/20210215_monday_quote.jpg?1613084103,Let us see what love can do.,<Author:0x0000555608397c00>
CONFIDENCE,/inspirational-quotes/8189-believing-that-the-dots-will-connect-down-the,https://assets.passiton.com/quotes/quote_artwork/8189/medium/20200212_friday_quote.jpg?1612472860,Believing that the dots will connect down the road will give you the confidence to follow your heart.,<Author:0x00005556093834e8>
CONFIDENCE,/inspirational-quotes/7403-as-is-our-confidence-so-is-our-capacity,https://assets.passiton.com/quotes/quote_artwork/7403/medium/20200211_thursday_quote.jpg?1612472845,"As is our confidence, so is our capacity.",<Author:0x00005556093fc5a0>
CONFIDENCE,/inspirational-quotes/8188-what-lies-behind-you-and-what-lies-in-front-of,https://assets.passiton.com/quotes/quote_artwork/8188/medium/20200210_wednesday_quote.jpg?1612472831,What lies behind you and what lies in front of you pales in comparison to what lies inside you. ,<Author:0x00005556094c2a20>
CONFIDENCE,/inspirational-quotes/8187-live-from-the-heart-of-yourself-seek-to-be,https://assets.passiton.com/quotes/quote_artwork/8187/medium/20200209_tuesday_quote.jpg?1612472818,"Live from the heart of yourself. Seek to be whole, not perfect.",<Author:0x0000555609554560>
CONFIDENCE,/inspirational-quotes/8186-personality-begins-where-comparison-leaves-off,https://assets.passiton.com/quotes/quote_artwork/8186/medium/20200208_monday_quote.jpg?1612472804,Personality begins where comparison leaves off. Be unique. Be memorable. Be confident. Be proud.,<Author:0x000055560959dbe8>
BRAVERY,/inspirational-quotes/8185-bravery-shows-up-in-everyday-life-when-people,https://assets.passiton.com/quotes/quote_artwork/8185/medium/20210205_friday_quote.jpg?1611954012,"Bravery shows up in everyday life when people have the courage to live their truth, their vision and their dreams.",<Author:0x000055560963e250>
BRAVERY,/inspirational-quotes/8184-only-when-were-brave-enough-to-explore-the,https://assets.passiton.com/quotes/quote_artwork/8184/medium/20210204_thursday_quote.jpg?1611953982,Only when we're brave enough to explore the darkness will we discover the infinite power of our light.,<Author:0x00005556096fb3a0>
BRAVERY,/inspirational-quotes/8183-bravery-is-the-audacity-to-be-unhindered-by,https://assets.passiton.com/quotes/quote_artwork/8183/medium/20210203_wednesday_quote.jpg?1611953956,"Bravery is the audacity to be unhindered by failures, and to walk with freedom, strength, and hope, in the face of things unknown.",<Author:0x0000555609838970>
BRAVERY,/inspirational-quotes/7863-be-brave-take-risks-nothing-can-substitute,https://assets.passiton.com/quotes/quote_artwork/7863/medium/20210202_tuesday_quote.jpg?1611953930,Be brave. Take risks. Nothing can substitute experience.,<Author:0x00005556098dc278>
BRAVERY,/inspirational-quotes/8182-there-is-always-light-if-only-were-brave,https://assets.passiton.com/quotes/quote_artwork/8182/medium/20210201_monday_quote.jpg?1611953899,"There is always light, if only we're brave enough to see it. If only we're brave enough to be it.",<Author:0x0000555609a8d928>
PREPARATION,/inspirational-quotes/6682-give-me-six-hours-to-chop-down-a-tree-and-i,https://assets.passiton.com/quotes/quote_artwork/6682/medium/20210129_friday_quote.jpg?1611274490,"Give me six hours to chop down a tree, and I will spend the first four sharpening the axe.",<Author:0x0000555609b726b8>
PREPARATION,/inspirational-quotes/8181-first-i-prepare-then-i-have-faith,https://assets.passiton.com/quotes/quote_artwork/8181/medium/20210128_thursday_quote.jpg?1611274455,"First, I prepare. Then I have faith.",<Author:0x0000555609c11830>
PREPARATION,/inspirational-quotes/6108-we-cannot-always-build-the-future-for-our,https://assets.passiton.com/quotes/quote_artwork/6108/medium/20210127_wednesday_quote.jpg?1611274428,"We cannot always build the future for our youth, but we can build our youth for the future. ",<Author:0x0000555609c27018>
PREPARATION,/inspirational-quotes/6516-dont-judge-each-day-by-the-harvest-you-reap,https://assets.passiton.com/quotes/quote_artwork/6516/medium/20210126_tuesday_quote.jpg?1611274402,"Don't judge each day by the harvest you reap, but by the seeds that you plant.",<Author:0x0000555609d0c280>
PREPARATION,/inspirational-quotes/6371-its-not-the-will-to-win-that-matters-everyone,https://assets.passiton.com/quotes/quote_artwork/6371/medium/20210125_monday_quote.jpg?1611274376,It's not the will to win that matters-everyone has that. It's the will to prepare to win that matters.,<Author:0x0000555609d8bd28>
CHARACTER,/inspirational-quotes/3440-you-can-easily-judge-the-character-of-others-by,https://assets.passiton.com/quotes/quote_artwork/3440/medium/20200122_friday_quote.jpg?1610752655,You can easily judge the character of others by how they treat those who can do nothing for them.,<Author:0x0000555609dfe0f8>
CHARACTER,/inspirational-quotes/6745-the-greatest-discovery-of-our-generation-is,https://assets.passiton.com/quotes/quote_artwork/6745/medium/20200121_thursday_quote.jpg?1610752620,"The greatest discovery of our generation is that human beings can alter their lives by altering their attitudes of mind. As you think, so shall you be.",<Author:0x0000555609e52220>
CHARACTER,/inspirational-quotes/8178-what-we-know-matters-but-who-we-are-matters-more,https://assets.passiton.com/quotes/quote_artwork/8178/medium/20200120_wednesday_quote.jpg?1610752530,What we know matters but who we are matters more.,<Author:0x0000555609e44198>
CHARACTER,/inspirational-quotes/7558-the-truth-of-your-character-is-expressed,https://assets.passiton.com/quotes/quote_artwork/7558/medium/20200119_tuesday_quote.jpg?1610752475,The truth of your character is expressed through the choice of your actions.,<Author:0x0000555609ef68e8>
CHARACTER,/inspirational-quotes/8179-a-life-is-not-important-except-in-the-impact-it,https://assets.passiton.com/quotes/quote_artwork/8179/medium/20200118_monday_quote.jpg?1610752445,A life is not important except in the impact it has on other lives.,<Author:0x0000555609f681f0>
PEACE,/inspirational-quotes/8177-when-we-create-peace-and-harmony-and-balance-in,https://assets.passiton.com/quotes/quote_artwork/8177/medium/20200115_friday_quote.jpg?1610057653,"When we create peace and harmony and balance in our minds, we will find it in our lives. ",<Author:0x000055560a0315f0>
PEACE,/inspirational-quotes/5990-do-your-little-bit-of-good-where-you-are-its,https://assets.passiton.com/quotes/quote_artwork/5990/medium/20200114_thursday_quote_fixed.jpg?1610391509,Do your little bit of good where you are; its those little bits of good put together that overwhelm the world.,<Author:0x000055560a0aa450>
PEACE,/inspirational-quotes/6962-when-we-have-peace-in-our-hearts-and-minds-we,https://assets.passiton.com/quotes/quote_artwork/6962/medium/20200113_wednesday_quote_alternate.jpg?1610555976,"When we have peace in our hearts and minds, we draw peace into our lives.",<Author:0x000055560a09c940>
PEACE,/inspirational-quotes/7582-it-isn-t-enough-to-talk-about-peace-one-must,https://assets.passiton.com/quotes/quote_artwork/7582/medium/20200112_tuesday_quote.jpg?1610057593,It isn’t enough to talk about peace. One must believe in it. And it isn’t enough to believe in it. One must work at it.,<Author:0x000055560a0f7f98>
PEACE,/inspirational-quotes/7228-peace-it-does-not-mean-to-be-in-a-place-where,https://assets.passiton.com/quotes/quote_artwork/7228/medium/20200111_monday_quote.jpg?1610057571,"Peace. It does not mean to be in a place where there is no noise, trouble or hard work. It means to be in the midst of those things and still be calm in your heart.",<Author:0x000055560a10df50>
PURPOSE,/inspirational-quotes/8176-when-you-stay-on-purpose-and-refuse-to-be,https://assets.passiton.com/quotes/quote_artwork/8176/medium/20210108_friday_quote.jpg?1609617243,"When you stay on purpose and refuse to be discouraged by fear, you align with the infinite self, in which all possibilities exist.",<Author:0x000055560a127d88>
